num_cities,num_procs,speed,num_cores,milestone,length,route
6,2,0.012831,0,Milestone 2,1568.914868,0 2 4 3 5 1 
6,4,0.009607,0,Milestone 2,1568.914868,0 2 4 3 5 1 
6,1,0.001378,0,Milestone 2,1568.914868,0 2 4 3 5 1 
6,3,0.002056,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,5,0.015204,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,8,0.015986,0,Milestone 2,1568.914868,0 1 5 3 4 2 
12,3,0.545933,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,1,0.507469,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
6,7,0.021231,0,Milestone 2,1568.914868,0 1 5 3 4 2 
12,2,0.463490,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,6,0.704838,0,Milestone 2,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,5,0.866915,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
13,2,1.522947,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
6,6,0.022276,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,9,0.011167,0,Milestone 2,1568.914868,0 1 5 3 4 2 
13,1,1.181204,0,Milestone 2,1760.045085,0 12 2 6 4 3 8 11 7 5 10 9 1 
12,4,0.655759,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
6,10,0.063854,0,Milestone 2,1568.914868,0 1 5 3 4 2 
14,1,2.073576,0,Milestone 2,1760.101989,0 13 12 2 6 4 3 8 11 7 5 10 9 1 
12,8,1.708658,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
13,3,1.960816,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
6,16,0.052454,0,Milestone 2,1568.914868,0 1 5 3 4 2 
13,4,2.331163,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
12,7,1.915858,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
6,4,0.001647,0,Milestone 2,1568.914868,0 2 4 3 5 1 
6,1,0.002607,0,Milestone 2,1568.914868,0 2 4 3 5 1 
6,1,0.001211,0,Milestone 2,1568.914868,0 2 4 3 5 1 
6,3,0.003074,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,1,0.000697,0,Milestone 2,1568.914868,0 2 4 3 5 1 
12,9,1.668032,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
6,2,0.002531,0,Milestone 2,1568.914868,0 2 4 3 5 1 
6,4,0.007521,0,Milestone 2,1568.914868,0 2 4 3 5 1 
6,1,0.002624,0,Milestone 2,1568.914868,0 2 4 3 5 1 
6,2,0.001623,0,Milestone 2,1568.914868,0 2 4 3 5 1 
6,1,0.002227,0,Milestone 2,1568.914868,0 2 4 3 5 1 
13,6,2.654847,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
6,7,0.006020,0,Milestone 2,1568.914868,0 1 5 3 4 2 
12,10,1.563571,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
6,10,0.012651,0,Milestone 2,1568.914868,0 1 5 3 4 2 
12,1,0.348273,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
6,6,0.008082,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,5,0.009502,0,Milestone 2,1568.914868,0 1 5 3 4 2 
12,16,1.034135,0,Milestone 2,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,6,0.508228,0,Milestone 2,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,1,0.337397,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,1,0.368040,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
13,16,3.029594,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
6,6,0.022237,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,4,0.008091,0,Milestone 2,1568.914868,0 2 4 3 5 1 
12,1,0.337058,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
6,10,0.011637,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,16,0.017598,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,6,0.009775,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,3,0.018013,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,8,0.008546,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,16,0.010101,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,3,0.004488,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,4,0.073732,0,Milestone 2,1568.914868,0 2 4 3 5 1 
12,7,0.857618,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
6,5,0.011074,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,6,0.018702,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,4,0.004197,0,Milestone 2,1568.914868,0 2 4 3 5 1 
12,4,0.343557,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,4,0.837924,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
6,5,0.011172,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,2,0.014038,0,Milestone 2,1568.914868,0 2 4 3 5 1 
13,5,3.058144,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
12,3,0.538727,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
6,10,0.011076,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,32,0.010991,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,2,0.003637,0,Milestone 2,1568.914868,0 2 4 3 5 1 
12,2,0.453361,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,4,0.265423,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,10,0.399741,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
14,2,4.459295,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
6,9,0.019279,0,Milestone 2,1568.914868,0 1 5 3 4 2 
12,3,0.374253,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
6,16,0.020889,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,8,0.010397,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,3,0.002148,0,Milestone 2,1568.914868,0 1 5 3 4 2 
13,3,1.070874,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
12,2,0.227264,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
6,9,0.005987,0,Milestone 2,1568.914868,0 1 5 3 4 2 
12,6,0.281213,0,Milestone 2,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
6,8,0.006568,0,Milestone 2,1568.914868,0 1 5 3 4 2 
13,4,1.202219,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
6,7,0.009774,0,Milestone 2,1568.914868,0 1 5 3 4 2 
