num_cities,num_procs,speed,step,milestone,length,route
15,64,4.254125,2,Milestone 4,1878.128785,0 14 13 12 2 6 4 3 8 11 7 5 10 9 1 
15,64,4.586131,2,Milestone 4,1878.128785,0 14 13 12 2 6 4 3 8 11 7 5 10 9 1 
15,64,4.533309,2,Milestone 4,1878.128785,0 14 13 12 2 6 4 3 8 11 7 5 10 9 1 
15,64,4.501975,2,Milestone 4,1878.128785,0 14 13 12 2 6 4 3 8 11 7 5 10 9 1 
15,64,4.494661,2,Milestone 4,1878.128785,0 14 13 12 2 6 4 3 8 11 7 5 10 9 1 
15,16,6.085645,2,Milestone 4,1878.128785,0 14 13 12 2 6 4 3 8 11 7 5 10 9 1 
15,16,6.075651,2,Milestone 4,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,16,6.128008,2,Milestone 4,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,16,6.145549,2,Milestone 4,1878.128785,0 14 13 12 2 6 4 3 8 11 7 5 10 9 1 
15,16,6.047637,2,Milestone 4,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,4,6.006659,2,Milestone 4,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,4,6.005355,2,Milestone 4,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,4,6.004812,2,Milestone 4,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,4,6.021120,2,Milestone 4,1878.128785,0 14 13 12 2 6 4 3 8 11 7 5 10 9 1 
15,4,8.005588,2,Milestone 4,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
17,64,85.004545,2,Milestone 4,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
15,1,3.673888,2,Milestone 4,1878.128785,0 14 13 12 2 6 4 3 8 11 7 5 10 9 1 
15,1,3.900427,2,Milestone 4,1878.128785,0 14 13 12 2 6 4 3 8 11 7 5 10 9 1 
