RANK,AFTER_POPULATE_DISTANCE_MATRIX,AFTER_INIT,AFTER_STACK_TO_ARRAY,AFTER_BCAST,AFTER_SCATTER,AFTER_ARRAY_TO_STACK,AFTER_CALCULATION,AFTER_GATHER,AFTER_FINDING_BEST,EMPTY,NPROCS
51,0.007004,0.007012,0.007012,0.021362,0.123640,0.123640,23.434115,23.434450,23.434450,0.000000,64,
50,0.007280,0.007287,0.007288,0.021083,0.121010,0.121010,20.873051,23.436858,23.436858,0.000000,64,
41,0.008134,0.008142,0.008143,0.022047,0.088600,0.088600,34.036297,34.036633,34.036633,0.000000,64,
42,0.008524,0.008533,0.008534,0.021777,0.091322,0.091322,19.869614,36.651599,36.651599,0.000000,64,
43,0.008405,0.008412,0.008413,0.022201,0.094168,0.094168,36.650956,36.651247,36.651247,0.000000,64,
5,0.008253,0.008262,0.008263,0.017617,0.018136,0.018137,42.253243,42.253620,42.253620,0.000000,64,
2,0.007740,0.007747,0.007748,0.017420,0.017483,0.017483,37.702440,42.491478,42.491478,0.000000,64,
3,0.008215,0.008224,0.008225,0.017751,0.018104,0.018104,42.490810,42.491139,42.491139,0.000000,64,
31,0.007763,0.007771,0.007771,0.021456,0.062086,0.062086,43.220895,43.221207,43.221208,0.000000,64,
1,0.008221,0.008232,0.008233,0.017407,0.017472,0.017472,45.458613,45.458952,45.458952,0.000000,64,
7,0.007456,0.007463,0.007464,0.018011,0.018611,0.018611,46.557582,46.557911,46.557911,0.000000,64,
33,0.008549,0.008560,0.008561,0.021884,0.067061,0.067061,46.700187,46.700502,46.700502,0.000000,64,
53,0.006688,0.006695,0.006696,0.021479,0.129050,0.129050,47.817852,47.818194,47.818194,0.000000,64,
49,0.006723,0.006730,0.006731,0.021124,0.118422,0.118422,49.499388,49.499680,49.499680,0.000000,64,
35,0.008076,0.008083,0.008084,0.021968,0.072266,0.072267,50.034791,50.035081,50.035081,0.000000,64,
6,0.008438,0.008449,0.008450,0.017735,0.018383,0.018383,51.435043,51.435437,51.435437,0.000000,64,
57,0.007373,0.007383,0.007384,0.021334,0.140293,0.140293,52.456744,52.457046,52.457046,0.000000,64,
37,0.008352,0.008359,0.008359,0.022093,0.077529,0.077529,53.900845,53.901154,53.901154,0.000000,64,
34,0.007786,0.007794,0.007795,0.021667,0.069570,0.069570,54.302515,54.302930,54.302930,0.000000,64,
21,0.008589,0.008599,0.008600,0.017228,0.037112,0.037113,56.479027,56.479372,56.479372,0.000000,64,
61,0.007063,0.007076,0.007077,0.021549,0.151448,0.151448,57.391672,57.391977,57.391977,0.000000,64,
63,0.003406,0.003408,0.003409,0.016483,0.154512,0.154512,58.491242,58.491455,58.491455,0.000000,64,
62,0.003427,0.003430,0.003430,0.016463,0.152339,0.152339,38.061662,58.497680,58.497680,0.000000,64,
