RANK,AFTER_POPULATE_DISTANCE_MATRIX,AFTER_INIT,AFTER_STACK_TO_ARRAY,AFTER_BCAST,AFTER_SCATTER,AFTER_ARRAY_TO_STACK,AFTER_CALCULATION,AFTER_GATHER,AFTER_FINDING_BEST,EMPTY,NPROCS
59,0.009406,0.009410,0.009411,0.025631,0.167464,0.167464,59.947255,59.947537,59.947537,0.000000,
50,0.009220,0.009226,0.009227,0.025578,0.139110,0.139110,59.947268,59.947901,59.947901,0.000000,
53,0.008928,0.008932,0.008933,0.025783,0.148459,0.148459,59.947289,59.947750,59.947750,0.000000,
27,0.011273,0.011283,0.011284,0.022416,0.065877,0.065877,59.948880,59.949408,59.949408,0.000000,

90,0.010622,0.010631,0.010631,0.032042,0.268467,0.268468,59.948445,59.949185,59.949185,0.000000,

113,0.010783,0.010799,0.010800,0.039076,0.345149,0.345149,59.946325,59.946783,59.946783,0.000000,
87,0.010815,0.010824,0.010825,0.031398,0.258099,0.258099,59.948453,59.948908,59.948908,0.000000,

121,0.010131,0.010141,0.010141,0.039324,0.372222,0.372223,59.946302,59.946972,59.946972,0.000000,
120,0.009687,0.009699,0.009700,0.039275,0.368761,0.368761,59.946307,59.954392,59.954393,0.000000,
62,0.008943,0.008948,0.008949,0.026120,0.177220,0.177221,59.947370,59.955149,59.955149,0.000000,
580,0.010044,0.010054,0.010055,0.031505,0.234648,0.234649,59.948449,59.963133,59.963134,0.000000,
10,0.009935,0.010581,0.010680,0.022481,0.392762,0.392762,59.949813,59.971942,59.971943,0.000000,

54,0.008700,0.008706,0.008707,0.023639,0.151086,0.151086,59.961829,59.962369,59.962369,0.000000,
59,0.007945,0.007967,0.007968,0.023426,0.167249,0.167249,59.961867,59.962259,59.962259,0.000000,
51,0.008783,0.008789,0.008790,0.023145,0.141765,0.141765,59.961822,59.962386,59.962386,0.000000,
83,0.007353,0.007361,0.007362,0.028412,0.249458,0.249458,59.963457,59.963788,59.963788,0.000000,
186,0.007784,0.007793,0.007793,0.029015,0.259118,0.259119,59.963416,59.964193,59.964193,0.000000,

105,0.010423,0.010432,0.010433,0.034662,0.323186,0.323186,59.962636,59.963221,59.963221,0.000000,
9110,0.010591,0.010599,0.010600,0.035491,0.340469,0.340469,59.962674,59.969864,59.969864,0.000000,
178,0.012200,0.012212,0.012212,0.028691,0.232573,0.232574,59.963156,59.970372,59.970372,0.000000,
72,0.011134,0.011143,0.011144,0.028131,0.211567,0.211568,59.963163,59.970882,59.970882,0.000000,
32,0.010348,0.010357,0.010358,0.023904,0.076440,0.076440,59.963256,59.975772,59.975772,0.000000,
864,0.010221,0.010230,0.010231,0.027831,0.179970,0.179970,59.963207,59.983424,59.983424,0.000000,

,0.010702,0.010711,0.010712,0.034378,0.292712,0.292712,59.962631,59.982331,59.982331,0.000000,
0,0.007895,0.008563,0.008668,0.020112,0.397373,0.397373,59.963987,59.984984,59.984985,0.000000,
54,0.008536,0.008541,0.008542,0.027195,0.154833,0.154833,60.125945,60.126534,60.126534,0.000000,
55,0.008383,0.008389,0.008390,0.027244,0.158067,0.158068,60.126016,60.126402,60.126402,0.000000,
52,0.009029,0.009034,0.009035,0.027131,0.148540,0.148541,60.125879,60.126677,60.126677,0.000000,

86,0.009996,0.010005,0.010006,0.036058,0.258058,0.258058,60.127033,60.127894,60.127894,0.000000,
898,0.011171,0.011180,0.011181,0.042532,0.298790,0.298790,60.126557,60.127348,60.127348,0.000000,

67,0.011429,0.011444,0.011445,0.034898,0.192929,0.192929,60.126779,60.127258,60.127258,0.000000,

63,0.011166,0.011174,0.011175,0.034588,0.179931,0.179932,60.126842,60.134214,60.134214,0.000000,
31,0.010964,0.010973,0.010973,0.027449,0.079071,0.079071,60.127463,60.134749,60.134749,0.000000,

72,0.010898,0.010923,0.010923,0.035147,0.210102,0.210102,60.126824,60.135325,60.135325,0.000000,
24,0.011699,0.011707,0.011708,0.023369,0.057989,0.057989,60.127168,60.135391,60.135391,0.000000,
896,0.011213,0.011223,0.011223,0.042151,0.292336,0.292336,60.126531,60.147433,60.147433,0.000000,
64,0.011191,0.011200,0.011201,0.034774,0.183040,0.183040,60.126818,60.148027,60.148027,0.000000,
57,0.008772,0.008779,0.008781,0.027381,0.164356,0.164356,59.993771,59.994120,59.994120,0.000000,
51,0.008818,0.008822,0.008823,0.027222,0.146161,0.146161,59.993753,59.994179,59.994179,0.000000,
74,0.010950,0.010959,0.010959,0.033203,0.215977,0.215977,59.995240,59.996107,59.996107,0.000000,

5,0.012137,0.012146,0.012147,0.023100,0.060828,0.060828,59.995070,59.995412,59.995412,0.000000,
11,0.010955,0.010971,0.010972,0.024872,0.026478,0.026478,59.996159,59.996662,59.996662,0.000000,

93,0.010824,0.010833,0.010833,0.033108,0.278743,0.278743,59.994607,59.994977,59.994977,0.000000,

8,0.011050,0.011059,0.011060,0.023959,0.025264,0.025264,59.996124,60.002373,60.002373,0.000000,


111,0.010451,0.010460,0.010460,0.037957,0.337287,0.337288,59.992761,60.000282,60.000282,0.000000,
2,0.010422,0.010431,0.010432,0.032855,0.209165,0.209165,59.995242,60.002718,60.002718,0.000000,
