11
Berlin	3396300	52.520	13.380
Hamburg	1731200	53.550	10.000
Munchen	1241100	48.140	11.580
Koln	969500	50.950	6.970
Frankfurt	646000	50.120	8.680
Dortmund	592200	51.510	7.480
Stuttgart	590500	48.790	9.190
Essen	581600	51.470	7.000
Dusseldorf	572900	51.240	6.790
Bremen	545000	53.080	8.810
Hannover	516300	52.400	9.730
Duisburg	506700	51.430	6.750
Nurnberg	495600	49.450	11.050
Leipzig	494700	51.350	12.400
Dresden	480000	51.050	13.740
Bochum	388200	51.480	7.200
Wuppertal	362800	51.260	7.180
Bielefeld	323700	52.030	8.530
Bonn	311000	50.730	7.100
Mannheim	309600	49.500	8.470
Karlsruhe	283000	49.000	8.400
Gelsenkirchen	273900	51.510	7.110
Wiesbaden	272100	50.080	8.230
Munster	270200	51.960	7.620
Monchengladbach	263300	51.200	6.420
